model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_pale-mlp0-sgm,edi3,3,0.0,0.0,0.8226950354609929,0.06577034393968584,0.0022345276485229363,7.140427595852416e-05,11.669159889221191,0.0
shelley_pale-mlp0-sgm,edi3,3,0.05,0.0,0.6666666666666666,0.166930529020423,0.002528687778474956,0.00023027842079540486,11.700318972269693,0.0
shelley_pale-mlp0-sgm,edi3,3,0.1,0.0,0.6028368794326241,0.06577034393968587,0.0026631260012415637,0.00026611508773915945,11.692652304967245,0.0
shelley_pale-mlp0-sgm,edi3,3,0.2,0.0,0.5602836879432623,0.03616325896165097,0.0026598218400245427,0.00013063339049490001,13.096258083979288,0.0
shelley_pale-mlp0-sgm,edi3,3,0.25,0.0,0.46808510638297873,0.04596269998870823,0.0023434983844729676,7.352156483014148e-05,14.668544054031372,0.0
shelley_pale-mlp0-sgm,edi3,3,0.0,0.0,0.7730496453900709,0.0610093990570399,0.002139519214972682,0.00015526106919599316,11.94497561454773,0.0
shelley_pale-mlp0-sgm,edi3,3,0.0,0.05,0.6808510638297872,0.10567137890603785,0.002304196507595051,0.00021099918086329593,11.705143928527832,0.0
shelley_pale-mlp0-sgm,edi3,3,0.0,0.1,0.652482269503546,0.07020918394760042,0.0020687366760838988,4.245869138855364e-05,11.87229037284851,0.0
shelley_pale-mlp0-sgm,edi3,3,0.0,0.2,0.5319148936170213,0.017372267679313345,0.0022746984065435396,0.00011302374262550575,12.252710898717245,0.0
shelley_pale-mlp0-sgm,edi3,3,0.0,0.25,0.48936170212765956,0.05211680303793997,0.00234858901507553,0.00010756061655010025,12.925698518753052,0.0
