model,data,size,p_add,p_rm,avg_acc,std_acc,training_time
shelleyg_share-gine2-sgm,ad1,100,0.0,0.0,0.9757575757575757,0.005102455460190163,447.5986120700836
shelleyg_share-gine2-sgm,ad1,100,0.05,0.0,0.8198817442719881,0.016288022896736816,401.796368598938
shelleyg_share-gine2-sgm,ad1,100,0.1,0.0,0.5651145602365114,0.015278790509511673,424.29378390312195
shelleyg_share-gine2-sgm,ad1,100,0.2,0.0,0.2518847006651884,0.010194735195186379,423.3374319076538
shelleyg_share-gine2-sgm,ad1,100,0.25,0.0,0.17080561714708056,0.014119292563368815,411.12609791755676
shelleyg_share-gine2-sgm,ad1,100,0.0,0.0,0.9721359940872136,0.006784423203170975,384.3754789829254
shelleyg_share-gine2-sgm,ad1,100,0.0,0.05,0.8490022172949003,0.01668235078630467,392.2197115421295
shelleyg_share-gine2-sgm,ad1,100,0.0,0.1,0.5714708056171471,0.037141877392326904,393.65231943130493
shelleyg_share-gine2-sgm,ad1,100,0.0,0.2,0.1630450849963045,0.021974226510217465,292.4785029888153
shelleyg_share-gine2-sgm,ad1,100,0.0,0.25,0.0737620103473762,0.01470712762670814,378.11427998542786
